Code;Name
10.03.06;Словари и переводчики
10.03.07;Диктофоны
10.03.08;Наушники
10.03.09;Аксессуары для электронных книг
10.03.10;Аксессуары для цифровых плееров
10.04.00;Аудио- и видеотехника
10.04.02;Стационарные медиаплееры
10.04.03;Системы MultiRoom
10.04.04;Аудиотехника
10.04.05;Аксессуары
10.04.06;DVD и Blu-ray плееры
10.04.07;Телевизоры и плазменные панели
10.04.08;Спутниковое и кабельное телевидение
10.04.09;Домашние кинотеатры
10.05.00;Игровые приставки
10.05.01;Мультиплатформенные приставки
10.05.02;Аксессуары
10.05.03;Игры
10.05.04;Игровые приставки
10.06.00;Телефоны
10.06.01;Аксессуары
10.06.02;Тарифные планы
10.06.03;Мобильные телефоны
10.06.04;Спутниковые телефоны
10.06.05;Радиотелефоны
10.06.06;Карты оплаты
10.06.07;Рации
10.06.08;Мобильный контент
10.06.09;Bluetooth-гарнитуры
10.06.10;Проводные телефоны
10.06.11;Проводные гарнитуры
10.06.12;DECT-гарнитуры
10.06.13;Запасные части
10.07.00;Фото и видеокамеры
10.07.01;Штативы и моноподы
10.07.02;Фотоматериалы и химикаты
10.07.03;Фотокамеры моментальной печати
10.07.04;Фотовспышки
10.07.05;Аксессуары
10.07.06;Оборудование для профессионалов
10.07.07;Цифровые фотокамеры
10.07.08;Пленочные фотокамеры
10.07.09;Оборудование для подводной съемки
10.07.10;Измерительное оборудование
10.07.11;Объективы
10.07.12;Видеокамеры
10.07.13;Цифровые фоторамки и фотоальбомы
10.08.00;Оптические приборы
10.08.01;Приборы ночного видения
10.08.02;Микроскопы
10.08.03;Лупы
10.08.04;Телескопы
10.08.05;Аксессуары
10.08.06;Бинокли и зрительные трубы
11.00.00;Детские товары
11.01.00;Игрушки и игровые комплексы
11.01.01;Головоломки, пазлы
11.01.02;Игрушечное оружие
11.01.03;Украшения для девочек
11.01.04;Солдатики
11.01.05;Железные дороги
11.01.06;Роботы и трансформеры
11.01.07;Сюжетно-ролевые игры
11.01.08;Обучающие игрушки
11.01.09;Конструкторы
11.01.10;Куклы и аксессуары
11.01.11;Мягкие игрушки
11.01.12;Фигурки
11.01.13;Надувные игрушки
11.01.14;Настольные игры
